ID,Image_Path,GT_Label,Pred_Label,Risk_Score,Reason,Score_Ch1,Score_Ch2,Score_Ch3
54,data/images/quantity/LN_005.jpg,1.0,1,1.0,Ch1:Physical Tamper(0.87) | Ch2:Semantic Mismatch(0.21) | Ch3:Logic Conflict(1.00),0.87,0.206,1.0
55,data/images/quantity/LN_006.jpg,1.0,1,0.9965167045593262,Ch1:Physical Tamper(1.00),0.997,0.254,0.1
56,data/images/quantity/LN_007.jpg,1.0,1,1.0,Ch1:Physical Tamper(0.89) | Ch2:Semantic Mismatch(0.19) | Ch3:Logic Conflict(1.00),0.895,0.189,1.0
57,data/images/quantity/LN_008.jpg,1.0,1,1.0,Ch1:Physical Tamper(0.92) | Ch2:Semantic Mismatch(0.22) | Ch3:Logic Conflict(1.00),0.922,0.216,1.0
58,data/images/LL_001.jpg,1.0,1,0.8369539380073547,Ch1:Physical Tamper(0.84),0.837,0.242,0.1
59,data/images/LL_002.jpg,1.0,1,0.5131224989891052,Ch1:Physical Tamper(0.51),0.513,0.282,0.1
60,data/images/LL_003.jpg,1.0,1,0.7946540117263794,Ch1:Physical Tamper(0.79),0.795,0.319,0.2
61,data/images/LL_004.jpg,1.0,1,0.9,Ch1:Physical Tamper(0.68) | Ch3:Logic Conflict(0.90),0.679,0.278,0.9
62,data/images/LL_005.jpg,1.0,1,0.631037712097168,Ch1:Physical Tamper(0.63),0.631,0.335,0.1
63,data/images/LL_006.jpg,1.0,1,0.963409423828125,Ch1:Physical Tamper(0.96),0.963,0.287,0.2
64,data/images/LL_007.jpg,1.0,1,0.7780658006668091,Ch1:Physical Tamper(0.78),0.778,0.312,0.1
65,data/images/LL_008.jpg,1.0,1,0.9737126231193542,Ch1:Physical Tamper(0.97) | Ch2:Semantic Mismatch(0.21),0.974,0.21,0.1
66,data/images/LL_009.jpg,1.0,1,0.9,Ch1:Physical Tamper(0.58) | Ch2:Semantic Mismatch(0.21),0.581,0.212,0.1
67,data/images/LT_001.jpg,1.0,1,0.972367525100708,Ch1:Physical Tamper(0.97),0.972,0.262,0.2
68,data/images/LT_002.jpg,1.0,1,0.9,Ch1:Physical Tamper(0.82) | Ch2:Semantic Mismatch(0.21) | Ch3:Logic Conflict(0.80),0.82,0.208,0.8
69,data/images/LT_003.jpg,1.0,1,0.9999798536300659,Ch1:Physical Tamper(1.00),1.0,0.269,0.1
70,data/images/LT_004.jpg,1.0,1,0.9890733361244202,Ch1:Physical Tamper(0.99),0.989,0.322,0.2
71,data/images/LT_005.jpg,1.0,1,0.9618569016456604,Ch1:Physical Tamper(0.96),0.962,0.257,0.1
72,data/images/LT_006.jpg,1.0,1,1.0,Ch1:Physical Tamper(0.94) | Ch3:Logic Conflict(1.00),0.943,0.296,1.0
73,data/images/LT_007.jpg,1.0,1,1.0,Ch1:Physical Tamper(0.72) | Ch2:Semantic Mismatch(0.21) | Ch3:Logic Conflict(1.00),0.72,0.212,1.0
